Format,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast
Type,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial
Gender,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1974,125,10.4%,13,112,0,125,10.4%,13,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,10.4%,13,112,0,125,10.4%,13,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,170,11.2%,19,151,0,170,11.2%,19,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,11.2%,19,151,0,170,11.2%,19,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,125,8.8%,11,114,0,125,8.8%,11,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,8.8%,11,114,0,125,8.8%,11,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,131,6.9%,9,122,0,131,6.9%,9,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,6.9%,9,122,0,131,6.9%,9,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,206,10.2%,21,185,0,206,10.2%,21,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,10.2%,21,185,0,206,10.2%,21,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,269,11.5%,31,238,0,269,11.5%,31,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,11.5%,31,238,0,269,11.5%,31,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,215,16.3%,35,180,0,215,16.3%,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,16.3%,35,180,0,215,16.3%,35,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,235,13.2%,31,204,0,235,13.2%,31,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,13.2%,31,204,0,235,13.2%,31,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,244,10.7%,26,218,0,244,10.7%,26,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,10.7%,26,218,0,244,10.7%,26,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,198,12.6%,25,173,0,198,12.6%,25,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,12.6%,25,173,0,198,12.6%,25,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
