Episode,Date,Guests (Himself/Herself - Role),References
6x06,2008-07-18,ugexc8pw:June Sarpong (Herself);v56md8i1:Chris Moyles (Himself);l2q1tl1a:Michael McIntyre (Himself);pyqgtpx8:David Baddiel (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x01,2008-09-04,1uesdshd:Carol McGiffin (Herself);zid1la51:James Corden (Himself);ea7kakgp:Alun Cochrane (Himself);k1zdzzda:Scott Capurro (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x02,2008-09-05,6lpaa70m:Mario Marconi (Himself);fopq0oyk:Lisa Appleton (Herself);5fzd4x2o:Luke Marsden (Himself);wuzxhhqe:Vanessa Feltz (Herself);1tel35ee:Danny Wallace (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x03,2008-09-11,kb3a51qs:Mark Watson (Himself);vo7y4a4s:Jamelia (Herself);otmm27t8:Chris Hoy (Himself);8kk9kqxv:Christopher Biggins (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x04,2008-09-18,djszfogi:Jack Whitehall (Himself);acajgupg:Claudia Winkleman (Herself);y4h3y6yc:Vic Reeves (Himself);a0ruwecx:Danny Jones (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x05,2008-09-25,h6bpnkyr:Doug Stanhope (Himself);23ufw09i:Tara Palmer-Tomkinson (Herself);x2vmpjxi:Ulrika Jonsson (Herself);w4g8xnp5:Rhod Gilbert (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x06,2008-10-02,6fd2akfw:John Thomson (Himself);oxyl45br:Sarah Millican (Herself);hajxdyo5:Greg Davies (Himself);yz5igyqe:Peter Andre (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x07,2008-10-09,2ycshwu5:Alex Zane (Himself);fmg0vgaf:Andy Zaltzman (Himself);uemudlsw:Kelly Osbourne (Herself);318cjy48:Stewart Francis (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x08,2008-10-16,u2csuy78:Sarah Silverman (Herself);8o9jj5k0:Kelvin Mackenzie (Himself);nqgc9rno:Steve Jones (Himself);ea7kakgp:Alun Cochrane (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x09,2008-10-23,lvwfm1hm:Olivia Lee (Herself);ukq8cpit:Jim Jefferies (Himself);zid1la51:James Corden (Himself);a7y0buzm:Charlie Brooker (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x10,2008-10-30,9b46vz01:Johnny Vegas (Himself);epqt6faz:Nicky Hambleton-Jones (Herself);r9njiv0i:Krishnan Guru-Murthy (Himself);y9qap6t1:Chris Addison (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x11,2008-11-06,l2q1tl1a:Michael McIntyre (Himself);l9ij492d:Jodie Kidd (Herself);tq4rhgl6:Russell Howard (Himself);o7fyqsem:Rich Hall (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x12,2008-11-13,mbn8u12z:Louis Walsh (Himself);xf6h4ahf:Kayvan Novak (Himself);njsnmzuj:Jennie McAlpine (Herself);3xla1274:Lee Mack (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x13,2008-11-20,acajgupg:Claudia Winkleman (Herself);djszfogi:Jack Whitehall (Himself);m2nw4eae:David Mitchell (Himself);hh3bsso3:Ken Livingstone (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
7x14,2008-11-27,6vpb1owi:Carol Vorderman (Herself);om2iuo4o:Gabby Logan (Herself);nqgc9rno:Steve Jones (Himself);zid1la51:James Corden (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x01,2009-06-05,2ycshwu5:Alex Zane (Himself);djszfogi:Jack Whitehall (Himself);9b46vz01:Johnny Vegas (Himself);x2vmpjxi:Ulrika Jonsson (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x02,2009-06-12,xlfikdcz:Holly Walsh (Herself);nn71jpyb:David Walliams (Himself);6kur6asu:James McQuillan (Himself);uqomb8vb:Jeremy Clarkson (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x03,2009-06-19,acajgupg:Claudia Winkleman (Herself);kb3a51qs:Mark Watson (Himself);bgfey1xd:Josie Long (Herself);vo7y4a4s:Jamelia (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x04,2009-06-26,adwy1gkx:Lauren Laverne (Herself);7tgfhtp7:Richard E. Grant (Himself);fu534cb1:Tom Felton (Himself);u0lmwty1:Alan Cumming (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x05,2009-07-03,nn71jpyb:David Walliams (Himself);nonjy0ek:Phil Spencer (Himself);s2df549a:Yvette Fielding (Herself);uk8mmmbl:Reginald D. Hunter (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x06,2009-07-10,bik5fnyr:Isy Suttie (Herself);uemudlsw:Kelly Osbourne (Herself);uk8mmmbl:Reginald D. Hunter (Himself);ok7h93p6:Terry Christian (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
8x07,2009-07-17,d9v5vbkt:Shappi Khorsandi (Herself);u9jjmpti:Patrick Kielty (Himself);w4g8xnp5:Rhod Gilbert (Himself);h6o9xvx5:Kevin Bridges (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x01,2010-01-08,acajgupg:Claudia Winkleman (Herself);d9v5vbkt:Shappi Khorsandi (Herself);vo7y4a4s:Jamelia (Herself);mudj7j13:Charlie Clements (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x02,2010-01-15,djszfogi:Jack Whitehall (Himself);r7l2j29l:Fay Ripley (Herself);bgfey1xd:Josie Long (Herself);khat0fyv:Peter Jones (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x03,2010-01-22,rhhx9oi8:Johnny Vaughan (Himself);om2iuo4o:Gabby Logan (Herself);fkybtxwz:Denise Lewis (Herself);j9nk18ol:John Bishop (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x04,2010-01-29,l9ij492d:Jodie Kidd (Herself);ea7kakgp:Alun Cochrane (Himself);9glurh4i:Michael Ball (Himself);9bc9r4da:Stephen Baldwin (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x05,2010-02-05,xlfikdcz:Holly Walsh (Herself);nn71jpyb:David Walliams (Himself);hajxdyo5:Greg Davies (Himself);zkbg1ia3:Fern Britton (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x06,2010-02-12,6vpb1owi:Carol Vorderman (Herself);7lm338ce:Peter Serafinowicz (Himself);qzdunwq0:David O'Doherty (Himself);j9nk18ol:John Bishop (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
9x07,2010-02-19,nn71jpyb:David Walliams (Himself);adwy1gkx:Lauren Laverne (Herself);w4g8xnp5:Rhod Gilbert (Himself);duy8ieoa:Janice Dickinson (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
10x00,2010-06-11,djszfogi:Jack Whitehall (Himself);g49zdywc:Peter Shilton (Himself);rasf33l1:Paddy McGuinness (Himself);oq3xutad:Helen Chamberlain (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
10x01,2010-09-09,mgsiouix:Josie Gibson (Herself);7s5xec3s:Brian Belo (Himself);x59zfuf0:Jarred Christmas (Himself);a7y0buzm:Charlie Brooker (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
10x02,2010-09-17,tiewbgqw:Jimmy Carr (Himself - Host);yipahedd:Sean Lock (Himself - Team Captain);3vblg9jo:Jason Manford (Himself - Team Captain);goz3ofbt:Jack Dee (Himself);vo7y4a4s:Jamelia (Herself);vs8m7zgl:Christian Jessen (Himself);djszfogi:Jack Whitehall (Himself),
10x03,2010-09-24,rhhx9oi8:Johnny Vaughan (Himself);qgrc9bij:Louie Spence (Himself);k6egqudh:Jon Richardson (Himself);oxyl45br:Sarah Millican (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
10x04,2010-10-01,kb3a51qs:Mark Watson (Himself);ldlhjug6:Daniel Sloss (Himself);1fchiwmk:Stephen Mangan (Himself);wuzxhhqe:Vanessa Feltz (Herself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
10x05,2010-10-08,xlfikdcz:Holly Walsh (Herself);douc8xsu:Jack Osbourne (Himself);093pchej:Tim Minchin (Himself);a4rxsqzd:Uri Geller (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
10x06,2010-10-15,6vpb1owi:Carol Vorderman (Herself);bchqpuf7:Myleene Klass (Herself);1rtqz52s:Russell Kane (Himself);h663jn38:Rufus Hound (Himself);3vblg9jo:Jason Manford (Himself - Team Captain);yipahedd:Sean Lock (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself - Host),
