Episode,Date,Guests (Himself/Herself - Role),References
8x06,2014-10-17,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);k8rrlj2r:Gareth Malone OBE (Himself);5yp8hrw6:Amanda Abbington (Herself);5a6ylpdb:Richard Osman (Himself);sx5n2tkh:Phill Jupitus (Himself);,
8x07,2014-10-24,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);b93y6vnu:Jo Brand (Herself);45nd42d5:Roisin Conaty (Herself);o2iakgfe:Paul Foot (Himself);9vbf6vv4:Ray Mears (Himself);,
8x08,2014-12-22,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);ehwk6nhd:Ray Winstone (Himself);ysvv93ea:Josh Widdicombe (Himself);l2c41fr1:Rachel Riley (Herself);u2juhzhv:Ricky Tomlinson (Himself);,
8x09,2015-01-08,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);du20ea69:Seann Walsh (Himself);xz16da4q:Adrian Chiles (Himself);w505n70n:June Brown (Herself);4lzawlf5:Aisling Bea (Herself);,
9x01,2015-07-31,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);4lv1v3uk:Danny Dyer (Himself);k6egqudh:Jon Richardson (Himself);rwxhc32a:Joe Lycett (Himself);g9cg0zf1:Moira Stuart (Herself);,
9x02,2015-08-07,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);k4ynw4wa:Bob Mortimer (Himself);om2iuo4o:Gabby Logan (Herself);cd2901cw:Katherine Parkinson (Herself);phytjakd:Steve Backshall (Himself);,
9x03,2015-08-14,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);15jmzsmk:Alex Jones (Herself);3gq46faw:John Cooper Clarke (Himself);hajxdyo5:Greg Davies (Himself);ke0xnedi:Rick Edwards (Himself);,
9x04,2015-08-21,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);hk2rczao:Alan Davies (Himself);5a6ylpdb:Richard Osman (Himself);bk2xi19y:Professor Germaine Greer (Herself);3bzdvtfk:Jermaine Jenas (Himself);,
9x05,2015-08-28,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);sas88cch:Clare Balding OBE (Herself);w4g8xnp5:Rhod Gilbert (Himself);gr0xurn4:Nick Grimshaw (Himself);qv4meooo:Rob Delaney (Himself);,
9x06,2015-09-04,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);862ggbq2:Richard Hammond (Himself);yipahedd:Sean Lock (Himself);cy7pwrvj:Judy Murray (Herself);vuphunhw:Trevor Noah (Himself);,
9x07,2015-09-11,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);goz3ofbt:Jack Dee (Himself);ct38seh0:Tinchy Stryder (Himself);9k3xrhyo:Romesh Ranganathan (Himself);g1957tyl:Gabby Roslin (Herself);,
9x08,2015-12-24,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);l2c0axys:Bill Bailey (Himself);t6m377l9:Ruth Jones (Herself);b93y6vnu:Jo Brand (Herself);47s89t5e:Kelly Holmes (Herself);,
10x01,2016-09-02,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);wq35ocl2:David Haye (Himself);y6q6age4:Martin Kemp (Himself);eyxy68yo:Mel Giedroyc (Herself);9k3xrhyo:Romesh Ranganathan (Himself);,
10x02,2016-09-09,9hgf4amz:Rob Brydon (Himself - Host);3xla1274:Lee Mack (Himself - Team Captain);m2nw4eae:David Mitchell (Himself - Team Captain);7o0hzl48:Nadiya Hussain (Herself);k56f1us9:Diane Morgan (Herself);k4ynw4wa:Bob Mortimer (Himself);fcped3rr:Michael Smiley (Himself),http://www.bbc.co.uk/iplayer/episode/b07v63yj/would-i-lie-to-you-series-10-episode-2
