Episode,Date,Guests (Himself/Herself - Role),References
3x10,2010-10-19,t1g5imsm:Ben Miller (Himself);yipahedd:Sean Lock (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
3x11,2010-10-26,o4ohfiqq:John Sergeant (Himself - Host);funl9xzs:Marcus Brigstocke (Himself - Team Captain);h663jn38:Rufus Hound (Himself - Team Captain);35eciypt:Richard Herring (Himself);1fchiwmk:Stephen Mangan (Himself);,
3x12,2010-11-02,oxyl45br:Sarah Millican (Herself);yipahedd:Sean Lock (Himself);h663jn38:Rufus Hound (Himself - Team Captain);funl9xzs:Marcus Brigstocke (Himself - Team Captain);o4ohfiqq:John Sergeant (Himself - Host);,
4x01,2011-11-03,1rtqz52s:Russell Kane (Himself);tiewbgqw:Jimmy Carr (Himself);whm3kdox:Robert Webb (Himself - Team Captain);du20ea69:Seann Walsh (Himself - Team Captain);yipahedd:Sean Lock (Himself - Host);,
4x02,2011-11-10,yipahedd:Sean Lock (Himself - Host);du20ea69:Seann Walsh (Himself - Team Captain);whm3kdox:Robert Webb (Himself - Team Captain);5c44y6fb:Chris Ramsey (Himself);djszfogi:Jack Whitehall (Himself);,
4x03,2011-11-17,luynjnx4:Andrew Maxwell (Himself);ldlhjug6:Daniel Sloss (Himself);whm3kdox:Robert Webb (Himself - Team Captain);du20ea69:Seann Walsh (Himself - Team Captain);yipahedd:Sean Lock (Himself - Host);,
4x04,2011-11-24,yipahedd:Sean Lock (Himself - Host);du20ea69:Seann Walsh (Himself - Team Captain);whm3kdox:Robert Webb (Himself - Team Captain);tiewbgqw:Jimmy Carr (Himself);lcx9zc14:Miles Jupp (Himself);,
4x05,2011-12-01,b93y6vnu:Jo Brand (Herself);6egq5ot8:Stephen K. Amos (Himself);whm3kdox:Robert Webb (Himself - Team Captain);du20ea69:Seann Walsh (Himself - Team Captain);yipahedd:Sean Lock (Himself - Host);,
4x06,2011-12-08,ee1cm8xe:Ardal O'Hanlon (Himself);35eciypt:Richard Herring (Himself);whm3kdox:Robert Webb (Himself - Team Captain);du20ea69:Seann Walsh (Himself - Team Captain);yipahedd:Sean Lock (Himself - Host);,
4x07,2011-12-15,5yw66sca:Tim Vine (Himself);1fchiwmk:Stephen Mangan (Himself);whm3kdox:Robert Webb (Himself - Team Captain);du20ea69:Seann Walsh (Himself - Team Captain);yipahedd:Sean Lock (Himself - Host);,
4x08,2011-12-22,yipahedd:Sean Lock (Himself - Host);du20ea69:Seann Walsh (Himself - Team Captain);whm3kdox:Robert Webb (Himself - Team Captain);3vblg9jo:Jason Manford (Himself);66ftg5eh:Micky Flanagan (Himself);,
