Episode,Date,Guests (Himself/Herself - Role),References
19810611,1981-06-11,wcm4tx1l:Robin Day (Himself - Host);mxv0mq4d:David Evans (Himself);pfdwt6fw:Neil Kinnock (Himself);64hq1cb2:Usha Prashar (Herself);elokf2z9:Timothy Raison (Himself);,
19810618,1981-06-18,jh9l77f9:Woodrow Wyatt (Himself);r0plx1k8:Janet Morgan (Herself);2rqe3mjg:Michael Meacher (Himself);g3q5hjbp:David Howell (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19811022,1981-10-22,wcm4tx1l:Robin Day (Himself - Host);1rlvy9at:Leon Brittan (Himself);deb92x07:Kay Carmichael (Herself);uuksxavw:Jo Grimond (Himself);eln79sn0:Denis Healey (Himself);,
19811029,1981-10-29,8j89zj7q:William Rodgers (Himself);m20sraag:Ann Leslie (Herself);rznout0j:Douglas Hurd (Himself);ewnb74k6:Judith Hart (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19811105,1981-11-05,wcm4tx1l:Robin Day (Himself - Host);hhduglg9:Roy Hattersley (Himself);eckt9ik8:Nigel Lawson (Himself);7mzhj4bn:Alan Sapper (Himself);ac98r0p9:Elizabeth Sidney (Herself);,
19811112,1981-11-12,ido83d2n:Jane Reed (Herself);4qmnitf3:Detta O'Cathain (Herself);dqxeohwl:Ian Gilmore (Himself);gtrv8kw5:Robin Cook (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19811119,1981-11-19,dzoa6avl:William Whitelaw (Himself);75umhpek:Anne Jones (Herself);cbtfciao:Ronald Dworkin (Himself);ii4d99on:Paul Boateng (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19811126,1981-11-26,wcm4tx1l:Robin Day (Himself - Host);erdz8azs:Jock Bruce-Gardyne (Himself);bzumchb6:Eric Heffer (Himself);33qlznh9:Roy Jenkins (Himself);palb9fi1:Clare Short (Herself);,
19811203,1981-12-03,2enffw8h:George Wright (Himself);mdk8gs2w:Adam Thomson (Himself);b1ci6w6t:Sally Oppenheim (Herself);pid429bi:Naomi MacIntosh (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19811210,1981-12-10,wcm4tx1l:Robin Day (Himself - Host);ra3vv5ih:Gerry Fitt (Himself);dzyhibgj:Joan Lestor (Herself);zh4q4zb0:Emily Macfarquhar (Herself);trkhvaas:Francis Pym (Himself);,
19811217,1981-12-17,ozvrcoxg:Bernard Levin (Himself);d3hz60kf:Harold Lever (Himself);wwkpqdzx:Antonia Fraser (Herself);umhd322y:Edward du Cann (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820114,1982-01-14,wcm4tx1l:Robin Day (Himself - Host);pfdwt6fw:Neil Kinnock (Himself);rjdpi477:Marion Roe (Herself);v1nspv3d:John Thorn (Himself);u45htdbh:Shirley Williams (Herself);,
19820121,1982-01-21,1fg52cf0:Margaret Shaw (Herself);4emq9or7:Patrick Jenkin (Himself);pbrf6olr:Tess Gill (Herself);elyt8yim:Terry Duffy (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820128,1982-01-28,rmivuy2l:Julie Tallon (Herself);zopjpmbn:Barbara Switzer (Herself);xygtzm23:Geoffrey Rippon (Himself);jae5mrc5:Gerald Kaufman (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820204,1982-02-04,wcm4tx1l:Robin Day (Himself - Host);9bivca8i:Alex Kitson (Himself);u3fzirmi:Isobel Lindsay (Herself);wdq1zmpr:David Penhaligon (Himself);pjtdx9pa:Malcolm Rifkind (Himself);,
19820211,1982-02-11,9rwn0dyw:Janet Young (Herself);tdz6e7jn:Cyril Smith (Himself);5rsja5l9:Frances Morrell (Herself);f1z7icoj:Joe Haines (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820218,1982-02-18,wcm4tx1l:Robin Day (Himself - Host);t5fibef6:Oonagh MacDonald (Herself);dn4g5ok5:David Owen (Himself);tpzpaesf:Norman Tebbit (Himself);6zok0w1x:Sid Weighell (Himself);,
19820225,1982-02-25,a8abwre3:William Waldegrave (Himself);g7cxyl1d:Brenda Dean (Herself);yzribo9x:Christopher Chataway (Himself);ci9wcc5m:David Aaronovitch (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820304,1982-03-04,wcm4tx1l:Robin Day (Himself - Host);5ms3c1yb:Bonnie Angelo (Herself);revdq8nu:Anna Coote (Herself);fl285sii:Alexander Gowrie (Himself);0v7pan2n:Peter Shore (Himself);,
19820311,1982-03-11,l2vtpbmd:David Steel (Himself);v9up74sw:John Silkin (Himself);usva0hyr:Geoffrey Howe (Himself);nadk4jhz:Sarah Hogg (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19820318,1982-03-18,1izbnl5w:Barbara Wootton (Herself);nlm288vg:Becky Tinsley (Herself);hh3bsso3:Ken Livingstone (Himself);6p7tnu9f:Norman Fowler (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820325,1982-03-25,wcm4tx1l:Robin Day (Himself - Host);e30sa4lj:John Alderson (Himself);qrw222ma:Alan Clark (Himself);l22sq7av:Sheila Rothwell (Herself);eafi5tqq:Arthur Scargill (Himself);,
19820401,1982-04-01,04unwr1q:Mike Thomas (Himself);lnfpseu0:Norman St. John Stevas (Himself);pi1s1cek:John Smith (Himself);jm7ncx6n:Terry Marsland (Herself);wcm4tx1l:Robin Day (Himself - Host);,
19820408,1982-04-08,wcm4tx1l:Robin Day (Himself - Host);sg6puy7a:Alun Chalfont (Himself);ewnb74k6:Judith Hart (Herself);g3q5hjbp:David Howell (Himself);dn4g5ok5:David Owen (Himself);,
19820415,1982-04-15,6s7pj2mp:Peregrine Worsthorne (Himself);xygtzm23:Geoffrey Rippon (Himself);nrx55coe:Russell Johnston (Himself);eln79sn0:Denis Healey (Himself);wcm4tx1l:Robin Day (Himself - Host);,
19820422,1982-04-22,wcm4tx1l:Robin Day (Himself - Host);t0xrmu9a:John Hackett (Himself);rznout0j:Douglas Hurd (Himself);7qu3jl9h:Drew Middleton (Himself);nafttat2:Edward Shackleton (Himself);,
19820429,1982-04-29,dulpbun8:Merlyn Rees (Himself);m0nc6gct:James Prior (Himself);hshzmhrx:Inez McCormack (Herself);hdl5buqe:Peter Jenkins (Himself);ir47ot7p:Ludovic Kennedy (Himself - Host);,
19820506,1982-05-06,9t9qvxxj:Christopher Mayhew (Himself);k3pc8b49:Bruce Kent (Himself);cn2y5r7o:Winston Churchill (Himself);y6oh49lz:Betty Boothroyd (Herself);ir47ot7p:Ludovic Kennedy (Himself - Host);,
19820513,1982-05-13,ir47ot7p:Ludovic Kennedy (Himself - Host);cken57hf:David Blunkett (Himself);m2czff56:Kenneth Clarke (Himself);rmr5uctt:Conor Cruise O'Brien (Himself);rmrcbuko:Polly Toynbee (Herself);,
19820520,1982-05-20,0v7pan2n:Peter Shore (Himself);z4aqphno:Cecil Parkinson (Himself);f7iyqe7m:Brenda Maddox (Herself);gepnetc2:John Harvey-Jones (Himself);ir47ot7p:Ludovic Kennedy (Himself - Host);,
19820527,1982-05-27,ir47ot7p:Ludovic Kennedy (Himself - Host);a9p8alpe:Janey Buchan (Herself);umhd322y:Edward du Cann (Himself);3ylrrod4:Peter Jay (Himself);huu5fl8g:Sue Slipman (Herself);,
