Episode,Date,Guests (Himself/Herself - Role),References
5x02,1999-02-19,pjdhk7f2:Faye Tozer (Herself);wlg4u0ny:Junior Simpson (Himself);cr1psboa:Glen Matlock (Himself);vvpc2276:Sara Cox (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x03,1999-02-26,7pd88ut6:Rick Wakeman (Himself);zo2dmx7e:Leeroy Thornhill (Himself);8bduf8ih:Frank Skinner (Himself);h97auro1:Paul Godfrey (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x04,1999-03-05,0w13w4m6:Rowland Rivron (Himself);i9hu1ace:Billie Piper (Herself);ffa29no9:Meat Loaf (Himself);l2povm2r:Nick Keynes (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x05,1999-03-19,gwaa17fs:Roy Wood (Himself);lala2l3q:Kate Thornton (Herself);ca2hu4ig:John Hegley (Himself);qix8nke7:Carl Cox (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x06,1999-03-26,mrkxmhms:Toyah Willcox (Herself);0gueilr4:Kele Le Roc (Herself);qwwk5pnj:Tom Gray (Himself);5ovzrrbh:Adam Bloom (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x07,1999-04-02,o11sbypg:Tony Wright (Himself);rymizsk1:Grant Nicholas (Himself);lju5ocuz:Howard Jones (Himself);l2c0axys:Bill Bailey (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
5x08,1999-04-09,xq202779:Josie Lawrence (Herself);a5731fxw:Chrissie Hynde (Herself);hwnt222z:Tony Hadley (Himself);vkg1szzl:Bobby Davro (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x01,1999-09-10,dvfmpovw:Arthur Smith (Himself);76pb75u2:Jayne Middlemiss (Herself);tp9yddfi:Martin Fry (Himself);5wwqoh6g:Sister Bliss (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x02,1999-09-17,q2l8ck4k:Roisin Murphy (Herself);yqul2djb:Nik Kershaw (Himself);xvxlztf6:Jeff Green (Himself);f6tm75jf:Dane Bowers (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x03,1999-09-24,mavv4num:Pauline McLynn (Herself);ji4aisp3:David Essex (Himself);lx3qk601:Sarah Cawood (Herself);8vh0weuz:J. Brown (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
