Episode,Date,Guests (Himself/Herself - Role)
6x02,2011-09-08,Denise Welch (Herself);Example  (Himself);Alex Reid (Himself);Alan Fletcher (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x03,2011-09-15,Sam Faiers (Herself);Pamela Anderson (Herself);Samia Ghadie (Herself);Kerry Katona (Herself);Emma Bunton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x04,2011-09-22,Melanie Chisholm (Herself);Paddy Doherty (Himself);Stacey Solomon (Herself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x05,2011-09-29,Tinchy Stryder (Himself);Richard Bacon (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Denise Van Outen (Herself)
6x06,2011-10-06,Antony Cotton (Himself);Caroline Flack (Herself);Olly Murs (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x07,2011-10-13,Nick Pickard (Himself);Michelle Collins (Herself);Ricky Norwood (Himself);Natalie Anderson (Herself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x08,2011-10-20,Verne Troyer (Himself);Peter Andre (Himself);Chris Ramsey (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x09,2011-10-27,Declan Donnelly (Himself);Anthony McPartlin (Himself);Professor Green (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x10,2011-11-03,Claire Richards (Herself);Aston Merrygold (Himself);OritsÈ Williams (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Jordan "Rizzle" Stephens (Himself);Harley "Sylvester" Alexander-Sule (Himself)
6x11,2011-11-10,Shaun Ryder (Himself);Gino D'Acampo (Himself);Russell Kane (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
6x12,2011-12-22,Michelle Keegan (Herself);Amy Childs (Herself);Paddy McGuinness (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x01,2012-02-09,Chris Fountain (Himself);Christine Bleakley (Herself);Phillip Schofield (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x02,2012-02-16,Matt Cardle (Himself);Adam Deacon (Himself);Charlie Brooks (Herself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x03,2012-02-23,Danny Dyer (Himself);Tess Daly (Herself);Jake Humphrey (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Emma Bunton (Herself - Team Captain);Keith Lemon (Himself - Host)
7x04,2012-03-01,David Hasselhoff (Himself);Andrew Flintoff (Himself);Dougie Poynter (Himself);Harry Judd (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x05,2012-03-08,Jason Donovan (Himself);Robbie Savage (Himself);Gino D'Acampo (Himself);Rufus Hound (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x06,2012-03-15,Alexandra Burke (Herself);Gemma Collins (Herself);Melanie Brown (Herself);Jorgie Porter (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x07,2012-03-22,Rita Simons (Herself);John Partridge (Himself);Catherine Tyldesley (Herself);Jack P. Shepherd (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x08,2012-03-29,Rick Edwards (Himself);Olly Murs (Himself);Christian Jessen (Himself);Joey Essex (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x09,2012-04-05,Amanda Byram (Herself);Paddy McGuinness (Himself);Laura Whitmore (Herself);Kian Egan (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x10,2012-04-12,Chelsee Healey (Herself);Russell Kane (Himself);Marcus Collins (Himself);Jonathan Ross (Himself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Max Beesley (Himself)
7x11,2012-04-19,Greg James (Himself);Katy B (Herself);Louie Spence (Himself);Antony Cotton (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
7x12,2012-04-26,Chris Ramsey (Himself);Corey Feldman (Himself);Caroline Flack (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Eamonn Holmes (Himself)
7x13,2012-05-03,Keith Lemon (Himself - Host);Harley "Sylvester" Alexander-Sule (Himself);Jordan "Rizzle" Stephens (Himself);Vanessa White (Herself);Tinchy Stryder (Himself);Frankie Sandford (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain)
8x01,2012-08-30,Keith Lemon (Himself - Host);Kelly Brook (Herself);Chris Ramsey (Himself);Ronan Keating (Himself);Greg Rutherford (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain)
8x02,2012-09-06,Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);James Argent (Himself);Emily Atack (Herself);Newton Faulkner (Himself);Jason Manford (Himself)
8x03,2012-09-13,Holly Willoughby (Herself - Team Captain);Jason Biggs (Himself);Fearne Cotton (Herself - Team Captain);Keith Lemon (Himself - Host);Johnny Vegas (Himself);Jonnie Peacock (Himself);Coleen Nolan (Herself)
8x04,2012-09-20,Mo Farah (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Chris Ramsey (Himself);Example  (Himself);Fearne Cotton (Herself - Team Captain);Lisa Snowdon (Herself)
8x05,2012-09-27,Amir Khan (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Joe Lycett (Himself);Fearne Cotton (Herself - Team Captain);Joey Essex (Himself);Jessica Ennis (Herself)
8x06,2012-10-04,Gino D'Acampo (Himself);Holly Willoughby (Herself - Team Captain);Rick Edwards (Himself);Dynamo  (Himself);Noel Clarke (Himself);Keith Lemon (Himself - Host);Fearne Cotton (Herself - Team Captain)
8x07,2012-10-11,Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);Spencer Matthews (Himself);Conor Maynard (Himself);Katie Price (Herself);Chris Ramsey (Himself)
8x08,2012-10-18,Rick Edwards (Himself);Tim Westwood (Himself);Paloma Faith (Herself);Caroline Flack (Herself);Keith Lemon (Himself - Host);Olly Murs (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain)
8x09,2012-10-25,Jay McGuiness (Himself);Siva Kaneswaran (Himself);Chris Ramsey (Himself);Nathan Sykes (Himself);Tom Parker (Himself);Max George (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
8x10,2012-11-01,Abbey Clancy (Herself);Yvette Fielding (Herself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);Fazer  (Himself);Joe Swash (Himself)
8x11,2012-11-08,Fearne Cotton (Herself - Team Captain);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Melanie Chisholm (Herself);Ashley Banjo (Himself);Chris Moyles (Himself);Dougie Poynter (Himself);Tom Fletcher (Himself)
8x12,2013-05-16,Conor Maynard (Himself);Richard Madeley (Himself);Dermot O'Leary (Himself);Johnny Vegas (Himself);Kelly Brook (Herself - Team Captain);Jade Thirlwall (Herself);Jason Manford (Himself);Leigh-Anne Pinnock (Herself);Perrie Edwards (Herself);Jesy Nelson (Herself);Fearne Cotton (Herself - Team Captain);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Verne Troyer (Himself)
8x15,2012-12-21,Keith Lemon (Himself - Host);Louis Smith (Himself);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);Aston Merrygold (Himself);Stacey Solomon (Herself);Simon Gregson (Himself);Davina McCall (Herself)
9x01,2013-02-28,Kelly Brook (Herself - Team Captain);Marvin Humes (Himself);Keith Lemon (Himself - Host);Geri Halliwell (Herself);Bruno Tonioli (Himself);Paddy McGuinness (Himself);Holly Willoughby (Herself - Team Captain)
9x02,2013-03-07,Keith Lemon (Himself - Host);Chris Ramsey (Himself);Holly Willoughby (Herself - Team Captain);Kelly Brook (Herself - Team Captain);Ashley Roberts (Herself);William Roache (Himself);Ashleigh Butler (Herself)
9x03,2013-03-14,Mark Wright (Himself);Henry Winkler (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Kelly Brook (Herself - Team Captain);Theo Hutchcraft (Himself);Vernon Kay (Himself)
9x04,2013-03-21,Keith Lemon (Himself - Host);Kelly Brook (Herself - Team Captain);Chris Ramsey (Himself);Holly Willoughby (Herself - Team Captain);Kimberly Wyatt (Herself);Danny Dyer (Himself);Rylan Clark (Himself)
9x05,2013-03-28,Abz Love (Himself);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Lee Ryan (Himself);Sean Conlon (Himself);Ritchie Neville (Himself);Jessica Taylor (Herself);Duncan James (Himself);Simon Webbe (Himself);Liz McClarnon (Herself);Scott Robinson (Himself);Antony Costa (Himself)
9x06,2013-04-04,Joe Lycett (Himself);Holly Willoughby (Herself - Team Captain);Kelly Brook (Herself - Team Captain);Millie Mackintosh (Herself);Nick Grimshaw (Himself);Gok Wan (Himself);Keith Lemon (Himself - Host)
9x07,2013-04-11,Sarah Harding (Herself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Kelly Brook (Herself - Team Captain);Stephen Mulhern (Himself);Seann Walsh (Himself);Joey Essex (Himself);Sam Faiers (Herself)
9x08,2013-04-18,Peter Andre (Himself);Helen Flanagan (Herself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Kelly Brook (Herself - Team Captain);Chris Ramsey (Himself);Tom Ellis (Himself)
9x09,2013-04-25,Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Kelly Brook (Herself - Team Captain);Ashley Banjo (Himself);Amelia Lily (Herself);Eamonn Holmes (Himself);Rob Beckett (Himself);Ruth Langsford (Herself)
9x10,2013-05-02,Tameka Empson (Herself);Nitin Ganatra (Himself - Team Captain);Tony Discipline (Himself);Catherine Tyldesley (Herself);Charlie Brooks (Herself);Brooke Vincent (Herself);Jack P. Shepherd (Himself);Antony Cotton (Himself - Team Captain);Keith Lemon (Himself - Host)
9x11,2013-05-09,Emma Bunton (Herself);Keith Lemon (Himself - Host);Gemma Collins (Herself);Rick Edwards (Himself);Greg James (Himself);Kelly Brook (Herself - Team Captain);Holly Willoughby (Herself - Team Captain)
9x13,2013-05-23,Kelly Brook (Herself - Team Captain);Keith Lemon (Himself - Host);Dave Berry (Himself);Jaime Winstone (Herself);Wretch 32 (Himself);Holly Willoughby (Herself - Team Captain);Myleene Klass (Herself)
10x01,2013-08-29,Ashley Walters (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);Lucy Mecklenburgh (Herself);Amir Khan (Himself);Christian Jessen (Himself)
10x02,2013-09-05,Harley "Sylvester" Alexander-Sule (Himself);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Alex Jones (Herself);Jason Derulo (Himself);Brian McFadden (Himself);Fearne Cotton (Herself - Team Captain);Jordan "Rizzle" Stephens (Himself)
10x03,2013-09-12,Kevin McHale (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);Georgia May Foote (Herself);Richard Hammond (Himself);Example  (Himself)
10x04,2013-09-19,Keith Lemon (Himself - Host);Chris Ramsey (Himself);Holly Willoughby (Herself - Team Captain);Carol Vorderman (Herself);Charlotte Crosby (Herself);Gino D'Acampo (Himself);Fearne Cotton (Herself - Team Captain)
10x05,2013-09-26,Johnny Vegas (Himself);Christine Bleakley (Herself);Mark Wright (Himself);Phillip Schofield (Himself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Ana Matronic (Herself)
10x06,2013-10-03,Kym Marsh (Herself);Craig Revel Horwood (Himself);Jay McGuiness (Himself);Nathan Sykes (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host);Chris Ramsey (Himself)
10x07,2013-10-10,Keith Lemon (Himself - Host);Fearne Cotton (Herself - Team Captain);Rita Simons (Herself);Holly Willoughby (Herself - Team Captain);Samantha Womack (Herself);Kate Garraway (Herself);Professor Green (Himself);Jake Canuso (Himself)
10x08,2013-10-17,Dermot O'Leary (Himself);Louis Walsh (Himself);Nicole Scherzinger (Herself);Caroline Flack (Herself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
10x09,2013-10-24,Matt Richardson (Himself);Victoria Silvstedt (Herself);Stacey Solomon (Herself);Andy Brown (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
10x10,2013-10-31,George Shelley (Himself);Jaymi Hensley (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Fearne Cotton (Herself - Team Captain);Paddy McGuinness (Himself);Kara Tointon (Herself);Emma Willis (Herself);Josh Cuthbert (Himself);JJ Hamblett (Himself)
10x11,2013-11-07,Leigh-Anne Pinnock (Herself);Jade Thirlwall (Herself);Perrie Edwards (Herself);Jesy Nelson (Herself);Chris Ramsey (Himself);Mark Francis (Himself);Danny Dyer (Himself - Team Captain);Eamonn Holmes (Himself);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
10x12,2013-11-14,Dougie Poynter (Himself);Harry Judd (Himself);Shane Filan (Himself);Aled Jones (Himself);Aston Merrygold (Himself);Fearne Cotton (Herself - Team Captain);Holly Willoughby (Herself - Team Captain);Keith Lemon (Himself - Host)
10x13,2013-12-12,Fearne Cotton (Herself - Team Captain);Jason Byrne (Himself);James Blunt (Himself);Keith Lemon (Himself - Host);Holly Willoughby (Herself - Team Captain);Vanessa White (Herself);Peter Andre (Himself)
