Episode,Date,Guests (Himself/Herself - Role),References
8x08,1994-12-16,5b7d718r:Angus Deayton (Himself - Host);i5uubaby:Hugh Dennis (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);u8taz6ci:Michael Buerk (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x01,1995-04-21,5b7d718r:Angus Deayton (Himself - Host);x0rfoz5i:Diane Abbott (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);2a1h4fcb:Julian Clary (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x02,1995-04-28,5b7d718r:Angus Deayton (Himself - Host);t6mx3m6n:Eddie Izzard (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ciotpq86:Michael Winner (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x03,1995-05-05,5b7d718r:Angus Deayton (Himself - Host);tl051h0m:John Fortune (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);8zd41h9x:John Bird (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x04,1995-05-12,5b7d718r:Angus Deayton (Himself - Host);28h0wyt1:Steve Wright (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);u0lmwty1:Alan Cumming (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x05,1995-05-19,5b7d718r:Angus Deayton (Himself - Host);bbjlysaj:Fred MacAulay (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);bk2xi19y:Germaine Greer (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x06,1995-05-26,5b7d718r:Angus Deayton (Himself - Host);8bduf8ih:Frank Skinner (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);tpwterle:Raoul Heertje (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x07,1995-06-02,5b7d718r:Angus Deayton (Himself - Host);v6koxi80:Tim Rice (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);y8pyfksp:Terry Major-Ball (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
9x08,1995-06-09,5b7d718r:Angus Deayton (Himself - Host);onlx99fw:Spike Milligan (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);v7rqfjjw:Andrew Neil (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x01,1995-10-27,5b7d718r:Angus Deayton (Himself - Host);lb5f5k2o:Gordon Kennedy (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);d6qvnttg:Paula Yates (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x02,1995-11-03,5b7d718r:Angus Deayton (Himself - Host);z2hsca0r:Bob Mills (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);eu75a1wo:Alex Salmond (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x03,1995-11-10,5b7d718r:Angus Deayton (Himself - Host);vvgcg1oo:Melvyn Bragg (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ptjjwn3v:Mike Yarwood (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x04,1995-11-17,5b7d718r:Angus Deayton (Himself - Host);2krdo89a:Alan Coren (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);ok7h93p6:Terry Christian (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x05,1995-11-24,5b7d718r:Angus Deayton (Himself - Host);17ti1bqt:Neil Morrissey (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);owblrpp3:Teresa Gorman (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x06,1995-12-01,5b7d718r:Angus Deayton (Himself - Host);hk2rczao:Alan Davies (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x07,1995-12-08,5b7d718r:Angus Deayton (Himself - Host);qrek4van:Craig Charles (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);5w8xsp8c:P. J. O'Rourke (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
10x08,1995-12-15,mweb58qf:Lee Hurst (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);0o8pm2dm:Mark Little (Himself);h6rlq9ew:Colin the Parrot (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
